Parent site,Site custom name,Site status,Site folder,Page URL,Page status,Versions,Added,Crawl frequency,Last new,Response code,Last checked,Categories,Title,Custom title,Page notes,Last version,Last change
https://courts.ms.gov,MS Judiciary (MS:RCP; MS:RCP-MO; MS:RAP; MS:URCCC),monitored,MS,https://courts.ms.gov/Newsite2/research/rules/ruleamendments/ruleamendments.php,monitored,50,2018-05-29T18:42:04Z,every 2 days,2026-03-03T15:49:33Z,200 OK,2026-03-03T15:49:33Z,FP,Rule Amendments - State of Mississippi Judiciary,,,https://versionista.com/117827/9559361/64035866/,https://versionista.com/117827/9559361/64035866:0/
https://courts.ms.gov,MS Judiciary (MS:RCP; MS:RCP-MO; MS:RAP; MS:URCCC),monitored,MS,https://courts.ms.gov/research/rules/rules.php,monitored,18,2018-08-31T17:44:53Z,every 2 days,2026-03-03T16:49:31Z,200 OK,2026-03-03T16:49:31Z,FP,MS Rules of Court - State of Mississippi Judiciary,,,https://versionista.com/117827/9918790/64036204/,https://versionista.com/117827/9918790/64036204:0/
https://courts.ms.gov,MS Judiciary (MS:RCP; MS:RCP-MO; MS:RAP; MS:URCCC),monitored,MS,https://courts.ms.gov/research/rules/rulesforcomment/rulesforcomment.php,monitored,30,2018-08-31T17:44:53Z,every 2 days,2026-03-02T21:50:36Z,200 OK,2026-03-02T21:50:36Z,FP,Rules for Comment - State of Mississippi Judiciary,,,https://versionista.com/117827/9918801/64023112/,https://versionista.com/117827/9918801/64023112:0/
https://www.myfloridacfo.com,WC,monitored,FL,https://www.myfloridacfo.com/Division/WC/noticesRules.htm,monitored,50,2018-05-29T18:43:06Z,every 2 days,2026-02-27T04:41:39Z,200 OK,2026-03-03T02:22:40Z,RS,Rule Changes &amp; Notices,,,https://versionista.com/117828/9559412/63977337/,https://versionista.com/117828/9559412/63977337:0/
https://www.supremecourt.gov,US Supreme Court,monitored,FED,https://www.supremecourt.gov/filingandrules/rules_guidance.aspx,monitored,50,2018-08-02T16:35:52Z,every 2 days,2026-02-19T07:46:06Z,200,2026-03-03T01:12:31Z,RS,Rules and Guidance,,,https://versionista.com/122507/9815626/63870072/,https://versionista.com/122507/9815626/63870072:0/
http://www.uscourts.gov,"US Courts (FRAP, FRCP, FRBP, etc.)",monitored,FED,http://www.uscourts.gov/rules-policies/proposed-amendments-published-public-comment,monitored,50,2018-08-02T17:57:59Z,every 2 days,2026-02-19T18:57:41Z,200 OK,2026-03-02T04:11:30Z,RS,Proposed Amendments Published for Public Comment,,,https://versionista.com/122509/9815856/63878067/,https://versionista.com/122509/9815856/63878067:0/
http://www.uscourts.gov,"US Courts (FRAP, FRCP, FRBP, etc.)",monitored,FED,http://www.uscourts.gov/rules-policies/pending-rules-and-forms-amendments,monitored,50,2018-08-02T17:58:18Z,every 2 days,2026-02-06T23:08:06Z,200 OK,2026-03-03T09:42:13Z,RS,Pending Rules and Forms Amendments,,,https://versionista.com/122509/9815907/63709969/,https://versionista.com/122509/9815907/63709969:0/
http://www.uscourts.gov,"US Courts (FRAP, FRCP, FRBP, etc.)",monitored,FED,http://www.uscourts.gov/rules-policies/current-rules-practice-procedure,monitored,50,2018-08-02T17:58:35Z,every 2 days,2026-02-05T22:58:24Z,200 OK,2026-03-03T07:31:20Z,RS,Current Rules of Practice &amp; Procedure,,,https://versionista.com/122509/9815908/63695913/,https://versionista.com/122509/9815908/63695913:0/
https://www.uspto.gov,IP:PATENT-ALL and TM-REG,monitored,IP (Patent),https://www.uspto.gov/web/offices/pac/mpep/index.html,monitored,36,2018-08-02T18:59:32Z,every 2 days,2025-12-07T06:19:50Z,200,2026-03-03T04:37:26Z,NW,Manual of Patent Examining Procedure,,,https://versionista.com/122522/9816624/62901195/,https://versionista.com/122522/9816624/62901195:0/
https://www.uspto.gov,IP:PATENT-ALL and TM-REG,monitored,IP (Patent),https://www.uspto.gov/trademark/trademark-updates-and-announcements/recent-and-upcoming-statutory-and-regulatory-changes,monitored,50,2018-08-02T20:47:59Z,every 2 days,2026-02-25T02:22:42Z,200,2026-03-02T23:03:33Z,NW,Recent and Upcoming Statutory and Regulatory Changes | USPTO,,,https://versionista.com/122522/9818085/63945744/,https://versionista.com/122522/9818085/63945744:0/
